
t,x,y,v_{x},v_{y},v,θ_{v},a_{x},a_{y},a,θ_{a},θ,p_{x}
0.0,0.001519173479919922,0.3668803954006603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.76275175134668,NaN
0.00833333333333303,0.0016590489613944673,0.36689479443720674,0.07008347046191477,-0.0040544141440734555,0.07020064890040363,-3.310940290373833,NaN,NaN,NaN,NaN,89.74091794961205,0.07008347046191477
0.016666666666666514,0.002687231320951819,0.3668128218315924,0.12193463727604135,1.0289411919394464E-4,0.12193468068945577,0.048348832611504244,4.512338259312857,-0.8701804329502614,4.595477184400776,-10.915194032229014,89.58026478414094,0.12193463727604135
0.024999999999999547,0.0036912929159951396,0.36689650933919327,0.13516478047480573,-0.011774742061475014,0.1356766834478817,-4.978694628159405,0.6678367414742179,0.19550237452197314,0.6958642767858049,16.31685230694358,89.42357486602681,0.13516478047480573
0.03333333333333303,0.004939977662198565,0.36661657613056786,0.13901261762400302,-0.007954651072486758,0.13924002417538678,-3.2750368914556605,-1.496683107880202,-0.19565634568750973,1.5094176794451997,-172.55215049410205,89.22801433041593,0.13901261762400302
0.04166666666666697,0.006008169876395297,0.3667639318213185,0.10792337585801556,-0.0018093967881435361,0.10793854257552045,-0.960506348393442,3.155131498971818,-1.3559558705116173,3.434162357632363,-23.256199128154577,89.06148898947562,0.10792337585801556
0.05,0.006738700593165524,0.36658641951743215,0.17489510706122377,-0.037475047356562055,0.17886497043393795,-12.093981676099808,4.153357844233749,-1.6192498799055248,4.457841580387539,-21.299081806545416,88.94689054781458,0.17489510706122377
0.05833333333333349,0.008923088327415667,0.36613934769870915,0.21210888827749322,-0.03351024298186261,0.2147396490427829,-8.977730495318351,5.237076239505703,-8.894447036439628,10.321732200673726,-59.51029976871353,88.60393556854582,0.21210888827749322
0.06666666666666651,0.010273848731123712,0.36602791546773444,0.22626031563775154,-0.15711654567218497,0.27546204703453203,-34.77634954756712,0.7138412747943297,-4.460212496754422,4.51697519163038,-80.90712690693617,88.39221645947272,0.22626031563775154
0.075,0.012694093588044825,0.3635207386041727,0.25460360713129687,-0.1704273475371454,0.3063796297941733,-33.79768269639795,2.017429386534829,0.6243720051344112,2.1118384716757723,17.196715996029027,88.00005200109399,0.25460360713129687
