mass_A
t,x,y,v_{x},v_{y},v,a_{x},a_{y},a
0.0,-6.664097026888235E-4,0.36576372539006513,NaN,NaN,NaN,NaN,NaN,NaN
0.008333333333333484,-6.387675961935443E-4,0.36583953773964695,-0.00418148422808072,-3.783438968786649E-4,0.004198565761542047,NaN,NaN,NaN
0.016666666666666514,-7.361011064901668E-4,0.3657574196584505,-0.001054805801960941,-0.005307976878327482,0.005411768086375249,1.4648544172772926,0.026791316838593798,1.4650993954250144
0.025,-6.563476928928974E-4,0.36575107145834146,0.022493583740696824,0.0022854592396449676,0.02260939259325246,10.035082589897808,-2.1927794417206483,10.27186274568069
0.03333333333333303,-3.6120804414522395E-4,0.3657955106457779,0.15175173568855913,-0.035762388777050846,0.15590874810456032,20.987131202006356,-17.98130005695347,27.636693503898464
0.04166666666666651,0.0018728479019163927,0.36515503164539065,0.38672340268936956,-0.2804893788923099,0.4777334841300514,5.964580223926386,-4.50045916085127,7.471970951907124
0.05,0.006084182000677722,0.3611206876642393,0.29805354186847566,-0.20321003429571166,0.36073568143282897,-7.104922471770232,12.399498146560711,14.290817947774302
0.05833333333333303,0.006840406933057611,0.36176819774046215,0.17945667498461795,0.04079225746625133,0.18403452520037578,-9.368470152374247,15.597855405707508,18.19509071846816
0.06666666666666651,0.009075126583754659,0.36180055862201016,0.20578486036253504,0.005804214530605808,0.20586669876584057,0.9827622995102082,5.115646673908098,5.209190208622218
0.07499999999999954,0.010270154605766496,0.3618649346493056,0.16259787632525124,0.11635589249983329,0.1999418993230645,-1.934471694324666,-6.425392756731264,6.710279637570847
0.08333333333333302,0.011785091189175492,0.3637398234970074,0.18717107166220875,-0.033584045226201766,0.19016019078906932,1.8619328459887534,-13.559198199051169,13.686440359864367
0.09166666666666652,0.013389672466803365,0.36130520056220217,0.192440404489154,-0.2106677680448647,0.2853317679000257,4.527236882927232,-6.558550766273645,7.96934513921472
0.09999999999999955,0.014992431263994688,0.360228694029593,0.25313860179180214,-0.08848608516848948,0.268158421433215,-2.295567688176967,7.99913091566019,8.322002548477906
0.10833333333333349,0.01760864916333347,0.35983043247606067,0.18936714876765717,-0.07366642615251268,0.2031911892146793,1.4974960917093278,-2.925409768788684,3.286413981836277
0.11666666666666652,0.01814855041012236,0.35900092026038444,0.21268758688607195,-0.1440858308276504,0.25689829945080345,5.3491644670426295,-4.280258927322501,6.850852281314744
0.125,0.0211534422781013,0.3574290019622665,0.34132551588106347,-0.15835905131588063,0.3762721048990209,9.173915083114096,0.10034218187116632,9.174463826603219
0.1333333333333335,0.023837309008140198,0.356361602738453,0.3368430943766172,-0.12748693511290393,0.3601613372555366,-11.026664052255875,4.943690656535035,12.084179634084547
0.14166666666666652,0.026767493851044863,0.3553042197103848,0.1879095418383132,-0.08596307670238777,0.20663892777021803,0.23197807511997465,2.612449624761557,2.622728897399266
0.15,0.02696913470544539,0.3549288847934133,0.2583697883169917,-0.06892726808557231,0.2674059008337465,9.088386783812549,-3.740346798648567,9.827968686678808
0.15833333333333302,0.031073656989661344,0.3541554319089586,0.43753495866337594,-0.152453339873833,0.46333450215934546,10.7221934698231,-5.038759116389618,11.847131561577115
0.16666666666666652,0.0342613840165016,0.35238799579551605,0.38723125203063263,-0.17222866873588308,0.4238050930365819,0.21703339760871207,-1.5315558093385406,1.546857036961145
0.175,0.037527511190172,0.35128495409669386,0.44305203345007355,-0.15485669632141225,0.46933538193900015,2.665314148858357,1.0835582713843486,2.877151028289962
0.18333333333333304,0.04164558457400276,0.3498070508568259,0.4516588030063057,-0.16767262350957668,0.4817777319549681,0.24715799640944147,0.0012214957093145949,0.24716101480795338
0.1916666666666665,0.0450551579069437,0.3484904103715343,0.4254014193710166,-0.15000100020502544,0.4510727964147068,-15.224714570825572,0.8323818848559361,15.247452028629072
0.19999999999999954,0.0487356082301863,0.34730703418674214,0.2377580252241514,-0.15153579200710113,0.2819432120440349,-3.3981683567876075,-1.6314265366210514,3.7694960837576086
0.20833333333333304,0.04901779166067953,0.3459648138380826,0.27389679071870693,-0.17855796211344235,0.32695932132317723,14.804666977353339,-1.9869512567889451,14.937407392422275
0.2166666666666665,0.05330055474216483,0.34433106815151804,0.5736768081736396,-0.18925792463908497,0.6040891012714833,17.76070430615944,-0.9413642517721026,17.785634205879333
0.225,0.05857907179690702,0.34281051509409777,0.5627796810479097,-0.18889041191078587,0.593633352425732,4.694087407373584,-1.745198773377835,5.00801111686693
0.23333333333333348,0.0626802160929635,0.34118289461967155,0.606811066770618,-0.217920762594355,0.6447550926708533,4.3805262945360885,-1.4307533209542096,4.608260591865826
0.2416666666666665,0.06869258957641722,0.3391785023841919,0.6839992317984944,-0.22105871733965124,0.718833712073093,6.186390927969719,0.30345783758637473,6.193829136556694
0.25,0.07408020328960499,0.3374985826640107,0.6782864746955148,-0.2037611603372647,0.7082310020161909,3.9375780344637774,0.08972413883513186,3.9386001572362397
0.25833333333333347,0.07999736415467598,0.33578248304523745,0.7573086593575877,-0.22083563727273445,0.7888502926586525,-16.40349218660651,-0.19223309595541657,16.4046185411073
0.2666666666666665,0.08670201427889801,0.3338179887094652,0.46269355808204676,-0.2140164011632435,0.5097924564540857,-8.909821428954283,-1.1991281886247973,8.990151628788444
0.275,0.08770892345604339,0.33221554302585005,0.4564415351063685,-0.22746146379212734,0.5099780313706812,9.594706621521425,0.6953483408398525,9.619870293729319
0.28333333333333305,0.09430937319733745,0.33002696431292977,0.7704225799036969,-0.22145989540515884,0.8016205067850573,23.041180207625203,1.509398403312137,23.09056666476985
